Location,Handle,Text,Geo,Place
Ashburn,glivings_2002,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,karma4you,@HillaryLostMe Would the most wealthy be Trump?,,NULL
Ashburn,M_W_19,Some of you guys are still talking contracts and are totally unaware of what JLo tweeted out at 3pm,,"Stone Ridge, VA"
Ashburn,Jesus2Come,RT @varepall: Lena Dunham Posts Video Celebrating the 'Extinction of White Men' on Twitter - Breitbart https://t.co/3Wa2uherEo,,NULL
Ashburn,Saint_Obama,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,oobed,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,tmj_VAV_intern,"See our latest #Herndon, VA #job and click to apply: Audi Strategy Intern - https://t.co/fC0rhfRsRL #internship #Hiring #CareerArc","{u'type': u'Point', u'coordinates': [38.9695545, -77.3860976]}","Herndon, VA"
Ashburn,bricks_woolard,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,riahjansen,"RT @lexikb_30: if tomorrow isn't the due date, then today isn't the ""do"" date",,NULL
Ashburn,SpaceRef,Color Imagery of Schiaparelli Crash Site https://t.co/Zt6VIZWB5A,,NULL
Ashburn,Hamish_Hoosen,@FloydShivambu @Julius_S_Malema You reward the hand the feeds you.,,"Chantilly, VA"
Ashburn,TammiePertl,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,rrtaylor52,RT @JunkScience: Podesta wants to 'STICK KNIFE' in @BernieSanders. #PodestaEmails27 https://t.co/BR93DycLyS,,NULL
Ashburn,Jamie1958,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,timmy0302,@usabasketball https://t.co/nCi5sbdNBX Zach Marbury get on a team!7032981222,,"Tysons Corner, VA"
Ashburn,NotPoliticalyC,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,karma4you,@bad_bad_bernie @HillaryLostMe @DrJillStein Why should we vote for you? To waste a vote? You are doing this for your ego &amp; against Clinton,,NULL
Ashburn,bergangbang,RT @BruceBartlett: Republicans threaten unprecedented congressional gridlock unless Trump wins.  https://t.co/a16MbkBWob,,NULL
Ashburn,Meeeedge,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
